id,name,description,status,reasons,countries,categories,website,logo_url,alternatives,alternatives_text,allOf
24s,24S,"**24S** is owned by **LVMH**.

Bernard Arnault, the chairman and **CEO** of **LMVH** Moet Hennessy-Louis Vuitton, and the world's richest man according to Forbes, has **invested** in cybersecurity firm, **Wiz**, the **Israeli** maker of cloud security solutions for enterprises.",avoid,operations_in_israel,global,,,https://d1guu6n8gz71j.cloudfront.net/system/asset/logos/1115154/logo_mobile.png?1664809554,,,
3musketeers,3Musketeers,"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.",avoid,operations_in_israel,global,,,https://logonoid.com/images/3-musketeers-logo.png,ulker,,
5gum,5 Gum,"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.",avoid,operations_in_israel,global,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Wrigley%27s_5_Logo.jpg/180px-Wrigley%27s_5_Logo.jpg,,,
5star,5 Star,"Owned by **Mondelez International, Inc.**

**Mondelez International Inc.** on Nov. 10(2020) announced a seed investment in Torr FoodTech, an early stage company based in Israel that has developed proprietary technology Mondelez said ""brings real, simple ingredients together to offer multi-textural, sensorial experiences.""",avoid,operations_in_israel,global,,,https://static.wikia.nocookie.net/logopedia/images/9/93/5star.jpg/revision/latest?cb=20190926101126,tadelle,,
7days,7Days,"Owned by **Mondelez International, Inc.**

**Mondelez International Inc.** on Nov. 10(2020) announced a seed investment in Torr FoodTech, an early stage company based in Israel that has developed proprietary technology Mondelez said ""brings real, simple ingredients together to offer multi-textural, sensorial experiences.""",avoid,operations_in_israel,global,,,https://www.leclerc.rzeszow.pl/foto_shop/188/7-days_220713045433.jpg,eti,,
7up,7up,"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",avoid,operations_in_israel,global,,,https://assets.turbologo.com/blog/en/2020/02/19084627/7up-cover.jpg,uludag-icecek,,
abusiouf,Abu Siouf,"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.",avoid,operations_in_israel,global,,,https://www.aozhouclick.com/png/abusiouf_1080x1080%5B1%5D_0dbe9.png?itok=J-eMjdIU,,,
abzpharma,ABZ Pharma,"**Owned by **Teva**, an American-Israeli Pharmaceutical Company**

**Teva** Pharmaceutical Industries Ltd is an American-**Israeli** pharmaceutical company and has become one of the biggest pharmaceutical companies in the world. Teva **stands** with **Israel** and provides all kind of **medical**, **pharmaceutical** and **humanitarian** aid to the zionist.

Note:

Hospitals in Gaza are facing a shortage of medical supplies. Humanitarian aid is based on the principles of humanity, impartiality, neutrality, and independence. The principle of humanity entails taking initiatives to alleviate human suffering, regardless of where it occurs, with particular attention to the most vulnerable. The dignity of all victims must be respected and protected. The principle of impartiality means that humanitarian aid can only be provided based on need, without discrimination between or within affected ethnic groups.",avoid,operations_in_israel,global,,,,,,
acana,Acana,"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.",avoid,operations_in_israel,global,,,https://www.petsearth.com/wp-content/uploads/2018/03/Acana-logo-e1490413721784.png,,,
acquadiparma,Acqua Di Parma,"**Acqua Di Parma** is owned by **LVMH**.

Bernard Arnault, the chairman and **CEO** of **LMVH** Moet Hennessy-Louis Vuitton, and the world's richest man according to Forbes, has **invested** in cybersecurity firm, **Wiz**, the **Israeli** maker of cloud security solutions for enterprises.",avoid,operations_in_israel,global,,,https://senteursdailleurs.com/img/m/20.jpg,,,
acquapanna,Acqua Panna,"Owned by **Nestle**.

**Nestle** is 100% owned by swiss. **Nestle** began investing in Israel in 1995 by buying 10% of Israeli food maker Osem Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a 53.8 percent stake in Osem Swiss food giant **Nestle** will set up a global research and development centre for snack foods in Sderot, a town in Israel's Negev desert, the Maariv newspaper reported on Sunday.",avoid,operations_in_israel,global,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Acqua_Panna_logo.svg/1200px-Acqua_Panna_logo.svg.png,,,
actimel,Actimel,"Owned by **Danone**.

**Danone** leads an investment of about NIS 12.5 million in Israel's Wilk, alongside Israeli milk firm Tara.",avoid,operations_in_israel,global,,,https://upload.wikimedia.org/wikipedia/commons/d/dc/Actimel_Logo.png,,,
activia,Activia,"Owned by **Danone**.

**Danone** leads an investment of about NIS 12.5 million in Israel's Wilk, alongside Israeli milk firm Tara.",avoid,operations_in_israel,global,,,https://assets-us-01.kc-usercontent.com/f5a2b33b-f1c1-0070-ebd4-26269b6538af/3847198a-dd67-4f9d-972d-b45bd6cbe773/Logo%20Activia_1.png?fm=png&h=150&q=80,,,
ades,AdeS,"Owned by **The Coca-Cola Company**.

**Coca-Cola Israel** owns dairy farms in the illegal Israeli settlements of Shadmot Mechola in the Jordan Valley and a plant in the industrial zone of Katzerin in the occupied Golan Heights.",avoid,operations_in_settlements,global,,,https://uspto.report/TM/90111246/mark.png,,,
aerin,AERIN,"AERIN is owned by **Estee Lauder**.

**Ronald Lauder**, who together with his brother Leonard Lauder inherited the Estee Lauder company, is the president of the **World Jewish Congress**, and chairman of the Jewish National Fund, and is a **zionist** with extremist views and financially and politically supports **Israeli** occupation of Palestinian land.",avoid,operations_in_israel,global,,,,,,
aesop,Aesop,"**Aesop** is owned by **L'Oreal.**

**34.70%** of L'Oreal is owned by Mrs. Francoise Bettencourt Meyers and her family. **20.1%** of L' Oreal is owned by **Nestle**. Nestle began **investing** in **Israel** in 1995 by buying 10% of Israeli food maker **Osem** Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a 53.8 percent stake in Osem Swiss food giant Nestle will set up a global research and development center for snack foods next year in Sderot, a town in Israel's Negev desert, the Maariv.",avoid,operations_in_israel,global,,,,lush,,
afrin,Afrin,"Owned by **Bayer**.

There is a partnership between **Bayer** and the Israeli Innovation Authority. The Israel Innovation Authority (IIA) is the support arm of the Israeli government, charged with fostering the development of industrial research and development in the State of Israel.",avoid,operations_in_israel,global,,,https://cdn.worldvectorlogo.com/logos/afrin.svg,,,
